"Data,""1.OrgUnit Ownership"",""2.OrgUnit Type(Level of Care)"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Ujagba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ogori/Magongo Local Government Area"",""ko Eni Ward"",""Eni Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Gegu North Ward"",""ko Gegu Egba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Odo-Egbe 1 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"","""",""ko Okoro Odokoro Araromi Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"","""",""ko Ukwo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Asuta Ward"",""Ko Merci_ Gate Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Oke-Egbe Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Ogbom Ward 06"",""ko Imela Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Gegu South Ward"",""ko G/Beki Primary Health Centre I"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Akuba 1 Ward"",""ko Sheria Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"",""ko Oke-Ebge 4 Ward"",""ko Egbe Planned Parenthood of Nigeria Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Lokoja Ward E"",""ko Kabawa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Sabongari Ward"",""ko Ofuloko Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Ilai Okegi Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 1 Ward"",""ko Emabu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Mopo Ward 09"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Imane Ward"",""ko Imane Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Okeneba Agassa Ward"",""ko Agassa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"","""",""ko Enjema 4 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"","""",""ko Okpatala Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Egume Ward"",""ko Acharu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""Ko Okebukun Ward"",""ko Okebunkun Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"","""",""ko Igo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Otubo-Adoyi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Akpanya Ward (Igalamela-Odolu)"",""ko Ogboligbo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"","""",""ko Egume Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""Ko Ukwaja Ward"",""ko Ukwaja Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Nagazi Ward"",""ko Osara Modern Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Geregu Ward"",""ko Geregu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"","""",""ko Ojiaji Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"","""",""ko Olamaboro Ward 4"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Eggan Ward"",""ko Eggan Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Okehi Local Government Area"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Itedo Makutu Ward 08"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Okekoko Ward"",""ko Owode Maternal and Child Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"",""ko Icheke Ward"",""ko Ajokpachi Ochiba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Adavi-Eba Ward"",""ko Talk Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Ijumu Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"","""",""ko Odolu Fehinti Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"","""",""ko Kakadan Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Odole 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Okunchi Ward"",""ko Ozuri Modern Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 2 Ward"",""ko Ofanwa Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"","""",""ko Ajaka 2 Ward"",""75.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Ogwolawo 2 Ward"",""ko Adula Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"",""ko Ugodo Ward"",""ko PHC Maternity Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Ogwolawo 1 Ward"",""ko Agwale Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 2 Ward"",""Ko Ofudu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Onyukoko Ward"",""ko Oguda Uvete Primary Health centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"","""",""ko Sabongari Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Kupa South Ward"",""ko Ekan Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Ojikpadala Ward"",""ko Ewune Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Ogbom Ward 06"",""ko Jege Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Obeiba 2 Ward"",""ko Inata Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Bariki Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Nagazi Ward"",""90.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Iyara Ward"",""ko Ilupa Iyara Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"","""",""ko Abejukolo 1 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Odo-Egbe 1 Ward"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""Ko Ukwaja Ward"",""ko Mission Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Girinya Ward"",""ko Robommi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Kuroko 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Ogugu 1 Ward"",""ko Ikem Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Odole 1 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Agbajogun Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Nagazi Ward"",""80.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Oke-Egbe Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Lafia Obessa Ward"",""ko Al-Barka Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"","""",""ko Iyah Ayeh Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Kupa North Ward"",""ko Ebbe Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"","""",""ko Eke-Avrugo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Onyedega Ward (Ibaji)"",""ko Ojuba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Ogbom Ward 06"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Ogori/Magongo Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Kpata Ward"",""ko Kpata Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Mopo Ward 09"",""ko Itedo Irunda DHU"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Obangede Ward"",""ko Obangede General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Lokoja Local Government Area"",""40.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Tawari Ward"",""ko Gbarada Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Iyah Ayeh Ward"",""ko Iyah Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Okaito Ward"",""ko Okaito Maternity Home"",""100.0"""
